replacement_type,shared_shells,pair_count
B->A,241 251,30
B->A,246 250,30
B->A,67 145,30
B->A,68 132,30
B->A,73 93,30
B->A,76 178,30
B->A,80 110,30
B->A,82 94,30
B->A,85 187,30
B->A,90 108,30
C->A,100 230,30
C->A,107 109,30
C->A,107 117,30
C->A,109 177,30
C->A,116 196,30
C->A,118 130,30
C->A,118 136,30
C->A,118 244,30
C->A,123 181,30
C->A,129 225,30
C->A,129 245,30
C->A,138 170,30
C->A,145 209,30
C->A,157 209,30
C->A,161 173,30
C->A,161 229,30
C->A,173 189,30
C->A,173 209,30
C->A,185 201,30
C->A,189 197,30
C->A,189 229,30
C->A,65 107,30
C->A,65 99,30
C->A,68 94,30
C->A,69 97,30
C->A,73 219,30
C->A,80 154,30
C->A,83 113,30
C->A,85 139,30
C->A,85 211,30
C->A,90 120,30
C->A,97 107,30
C->A,97 133,30
C->A,99 137,30
B->A,100 246,28
B->A,116 132,28
B->A,123 193,28
B->A,129 169,28
B->A,133 149,28
B->A,138 226,28
B->A,141 149,28
B->A,145 165,28
B->A,149 165,28
B->A,153 237,28
B->A,170 238,28
B->A,170 246,28
B->A,173 213,28
B->A,181 237,28
B->A,189 233,28
B->A,189 241,28
B->A,233 249,28
B->A,245 249,28
B->A,70 82,28
B->A,73 187,28
B->A,73 235,28
B->A,73 91,28
B->A,84 164,28
B->A,88 226,28
B->A,94 100,28
C->A,113 235,28
C->A,117 123,28
C->A,141 153,28
C->A,181 189,28
C->A,65 67,28
C->A,66 244,28
C->A,68 214,28
C->A,70 106,28
C->A,75 113,28
C->A,75 157,28
C->A,75 229,28
C->A,75 241,28
C->A,83 97,28
C->A,84 178,28
C->A,85 165,28
C->A,97 195,28
C->A,97 219,28
B->A,106 196,27
B->A,120 130,27
B->A,153 189,27
B->A,154 170,27
B->A,165 221,27
B->A,193 209,27
B->A,80 142,27
B->A,82 84,27
C->A,101 115,27
C->A,106 196,27
C->A,109 253,27
C->A,115 169,27
C->A,115 229,27
C->A,123 197,27
C->A,67 137,27
C->A,70 130,27
C->A,73 107,27
C->A,82 142,27
C->A,97 243,27
C->A,99 125,27
C->A,109 147,26
C->A,123 145,26
C->A,123 229,26
C->A,75 169,26
B->A,131 145,25
B->A,137 161,25
B->A,137 195,25
B->A,139 153,25
B->A,139 245,25
B->A,145 243,25
B->A,149 243,25
B->A,153 155,25
B->A,155 173,25
B->A,155 181,25
B->A,161 197,25
B->A,165 233,25
B->A,171 173,25
B->A,171 229,25
B->A,179 185,25
B->A,180 230,25
B->A,185 211,25
B->A,210 250,25
B->A,230 244,25
B->A,241 243,25
B->A,67 113,25
B->A,76 130,25
B->A,82 108,25
B->A,82 118,25
B->A,94 160,25
C->A,116 228,25
C->A,129 221,25
C->A,129 233,25
C->A,137 249,25
C->A,149 201,25
C->A,153 165,25
C->A,153 201,25
C->A,161 225,25
C->A,161 245,25
C->A,173 249,25
C->A,185 237,25
C->A,189 205,25
C->A,209 233,25
C->A,213 225,25
C->A,217 221,25
C->A,82 190,25
C->A,84 212,25
B->A,100 238,24
B->A,106 184,24
B->A,108 202,24
B->A,109 115,24
B->A,109 121,24
B->A,109 235,24
B->A,115 193,24
B->A,116 196,24
B->A,129 205,24
B->A,131 149,24
B->A,131 153,24
B->A,131 221,24
B->A,131 225,24
B->A,137 139,24
B->A,137 189,24
B->A,137 211,24
B->A,139 185,24
B->A,141 197,24
B->A,141 205,24
B->A,141 233,24
B->A,145 201,24
B->A,149 203,24
B->A,165 185,24
B->A,171 241,24
B->A,173 179,24
B->A,173 217,24
B->A,173 219,24
B->A,181 249,24
B->A,181 251,24
B->A,185 219,24
B->A,197 251,24
B->A,203 241,24
B->A,211 245,24
B->A,213 221,24
B->A,213 233,24
B->A,217 233,24
B->A,221 253,24
B->A,225 227,24
B->A,227 229,24
B->A,227 233,24
B->A,233 251,24
B->A,66 100,24
B->A,73 123,24
B->A,76 202,24
B->A,84 106,24
B->A,88 202,24
B->A,91 109,24
B->A,97 123,24
B->A,97 235,24
C->A,100 198,24
C->A,102 202,24
C->A,102 244,24
C->A,106 132,24
C->A,109 187,24
C->A,110 116,24
C->A,116 142,24
C->A,123 137,24
C->A,137 213,24
C->A,138 250,24
C->A,145 189,24
C->A,149 189,24
C->A,149 213,24
C->A,153 161,24
C->A,161 241,24
C->A,165 245,24
C->A,166 170,24
C->A,178 230,24
C->A,217 225,24
C->A,225 237,24
C->A,230 250,24
C->A,68 110,24
C->A,68 142,24
C->A,68 190,24
C->A,70 212,24
C->A,73 105,24
C->A,73 83,24
C->A,82 196,24
C->A,83 117,24
C->A,85 107,24
C->A,85 147,24
C->A,91 117,24
C->A,91 157,24
C->A,94 116,24
C->A,99 193,24
B->A,88 178,22
C->A,100 138,22
C->A,116 238,22
C->A,120 170,22
C->A,123 157,22
C->A,123 205,22
C->A,67 241,22
C->A,68 230,22
C->A,68 238,22
C->A,73 195,22
C->A,91 205,22
B->A,141 145,21
B->A,141 245,21
B->A,161 193,21
B->A,205 237,21
B->A,66 160,21
B->A,67 73,21
B->A,84 244,21
B->A,85 123,21
B->A,94 232,21
C->A,100 110,21
C->A,115 125,21
C->A,129 229,21
C->A,141 145,21
C->A,165 229,21
C->A,205 237,21
C->A,237 241,21
C->A,241 249,21
C->A,70 116,21
C->A,70 82,21
C->A,73 235,21
C->A,73 253,21
C->A,73 91,21
C->A,85 121,21
C->A,97 99,21
B->A,100 190,20
B->A,100 214,20
B->A,109 163,20
B->A,118 208,20
B->A,129 157,20
B->A,131 173,20
B->A,131 185,20
B->A,131 197,20
B->A,131 205,20
B->A,131 233,20
B->A,131 245,20
B->A,133 173,20
B->A,133 197,20
B->A,133 221,20
B->A,137 213,20
B->A,137 217,20
B->A,137 219,20
B->A,139 173,20
B->A,139 233,20
B->A,141 241,20
B->A,145 155,20
B->A,145 227,20
B->A,145 237,20
B->A,145 249,20
B->A,149 177,20
B->A,149 179,20
B->A,149 187,20
B->A,149 195,20
B->A,149 227,20
B->A,149 249,20
B->A,153 195,20
B->A,153 211,20
B->A,153 235,20
B->A,155 157,20
B->A,155 245,20
B->A,157 227,20
B->A,164 166,20
B->A,164 174,20
B->A,164 230,20
B->A,165 241,20
B->A,166 178,20
B->A,169 171,20
B->A,169 189,20
B->A,169 227,20
B->A,169 237,20
B->A,169 249,20
B->A,169 251,20
B->A,170 198,20
B->A,170 210,20
B->A,171 205,20
B->A,173 195,20
B->A,173 203,20
B->A,173 211,20
B->A,173 227,20
B->A,173 253,20
B->A,177 245,20
B->A,179 229,20
B->A,179 245,20
B->A,185 195,20
B->A,185 227,20
B->A,197 209,20
B->A,197 217,20
B->A,201 225,20
B->A,201 241,20
B->A,201 245,20
B->A,203 221,20
B->A,205 251,20
B->A,219 221,20
B->A,221 227,20
B->A,221 249,20
B->A,221 251,20
B->A,225 243,20
B->A,68 228,20
B->A,80 190,20
B->A,84 212,20
B->A,97 253,20
C->A,110 212,20
C->A,113 123,20
C->A,129 173,20
C->A,133 221,20
C->A,133 241,20
C->A,141 197,20
C->A,145 161,20
C->A,149 217,20
C->A,153 249,20
C->A,154 250,20
C->A,157 161,20
C->A,161 197,20
C->A,161 205,20
C->A,161 221,20
C->A,161 233,20
C->A,165 173,20
C->A,169 189,20
C->A,170 210,20
C->A,173 201,20
C->A,173 217,20
C->A,173 237,20
C->A,181 209,20
C->A,185 249,20
C->A,189 221,20
C->A,189 233,20
C->A,189 241,20
C->A,197 209,20
C->A,197 213,20
C->A,201 221,20
C->A,201 233,20
C->A,209 221,20
C->A,226 230,20
C->A,237 245,20
C->A,65 235,20
C->A,65 91,20
C->A,67 145,20
C->A,68 84,20
C->A,70 202,20
C->A,80 138,20
C->A,80 210,20
C->A,82 214,20
C->A,85 187,20
C->A,85 99,20
C->A,88 250,20
C->A,90 176,20
C->A,91 169,20
C->A,99 109,20
B->A,100 142,18
B->A,100 210,18
B->A,106 118,18
B->A,118 148,18
B->A,130 174,18
B->A,131 241,18
B->A,137 165,18
B->A,137 237,18
B->A,138 202,18
B->A,141 181,18
B->A,141 221,18
B->A,141 229,18
B->A,157 219,18
B->A,164 214,18
B->A,164 246,18
B->A,165 197,18
B->A,178 210,18
B->A,179 181,18
B->A,179 197,18
B->A,181 195,18
B->A,181 213,18
B->A,185 213,18
B->A,195 225,18
B->A,195 241,18
B->A,229 249,18
B->A,229 251,18
B->A,70 136,18
B->A,70 160,18
B->A,70 80,18
B->A,73 163,18
B->A,76 226,18
B->A,82 142,18
B->A,85 211,18
B->A,85 91,18
B->A,93 97,18
B->A,97 115,18
B->A,97 133,18
B->A,97 187,18
C->A,100 142,18
C->A,102 130,18
C->A,102 164,18
C->A,102 226,18
C->A,105 193,18
C->A,106 228,18
C->A,116 118,18
C->A,121 169,18
C->A,123 233,18
C->A,129 145,18
C->A,129 153,18
C->A,129 205,18
C->A,131 137,18
C->A,131 149,18
C->A,137 171,18
C->A,137 237,18
C->A,138 202,18
C->A,139 149,18
C->A,141 205,18
C->A,149 251,18
C->A,153 179,18
C->A,153 219,18
C->A,155 241,18
C->A,170 230,18
C->A,173 219,18
C->A,185 219,18
C->A,189 245,18
C->A,202 210,18
C->A,203 241,18
C->A,211 245,18
C->A,225 227,18
C->A,229 237,18
C->A,229 249,18
C->A,241 251,18
C->A,73 147,18
C->A,85 177,18
C->A,88 90,18
C->A,93 97,18
C->A,94 244,18
C->A,97 187,18
C->A,97 227,18
C->A,97 235,18
B->A,100 154,16
B->A,100 166,16
B->A,106 172,16
B->A,118 160,16
B->A,129 193,16
B->A,131 169,16
B->A,133 157,16
B->A,137 141,16
B->A,139 225,16
B->A,145 171,16
B->A,147 185,16
B->A,147 233,16
B->A,149 235,16
B->A,153 187,16
B->A,153 213,16
B->A,155 185,16
B->A,155 225,16
B->A,155 233,16
B->A,157 171,16
B->A,165 181,16
B->A,165 225,16
B->A,166 212,16
B->A,170 214,16
B->A,171 245,16
B->A,178 198,16
B->A,179 221,16
B->A,181 201,16
B->A,181 203,16
B->A,185 235,16
B->A,193 251,16
B->A,195 197,16
B->A,195 233,16
B->A,197 249,16
B->A,201 229,16
B->A,203 225,16
B->A,205 227,16
B->A,211 225,16
B->A,212 230,16
B->A,219 233,16
B->A,219 245,16
B->A,226 246,16
B->A,227 245,16
B->A,73 133,16
B->A,82 196,16
B->A,94 208,16
C->A,100 154,16
C->A,100 166,16
C->A,102 212,16
C->A,106 144,16
C->A,109 115,16
C->A,109 235,16
C->A,133 149,16
C->A,137 189,16
C->A,145 217,16
C->A,149 165,16
C->A,149 177,16
C->A,149 249,16
C->A,153 177,16
C->A,153 213,16
C->A,153 217,16
C->A,153 237,16
C->A,165 185,16
C->A,177 245,16
C->A,185 253,16
C->A,189 193,16
C->A,201 225,16
C->A,209 245,16
C->A,221 249,16
C->A,233 249,16
C->A,245 249,16
C->A,67 169,16
C->A,67 181,16
C->A,75 145,16
C->A,84 202,16
B->A,100 102,15
B->A,100 132,15
B->A,102 160,15
B->A,108 244,15
B->A,116 236,15
B->A,131 193,15
B->A,133 153,15
B->A,133 185,15
B->A,133 225,15
B->A,137 251,15
B->A,147 173,15
B->A,147 221,15
B->A,149 171,15
B->A,149 211,15
B->A,153 243,15
B->A,153 253,15
B->A,155 205,15
B->A,157 237,15
B->A,164 198,15
B->A,166 226,15
B->A,169 179,15
B->A,169 243,15
B->A,170 184,15
B->A,171 193,15
B->A,171 197,15
B->A,174 202,15
B->A,174 212,15
B->A,177 233,15
B->A,178 236,15
B->A,179 205,15
B->A,179 233,15
B->A,180 238,15
B->A,181 243,15
B->A,185 203,15
B->A,185 251,15
B->A,193 201,15
B->A,197 213,15
B->A,203 205,15
B->A,203 229,15
B->A,205 249,15
B->A,213 241,15
B->A,213 245,15
B->A,217 241,15
B->A,219 229,15
B->A,219 241,15
B->A,221 243,15
B->A,227 241,15
B->A,229 243,15
B->A,233 237,15
B->A,68 204,15
B->A,68 236,15
B->A,76 164,15
B->A,76 212,15
B->A,80 154,15
B->A,84 116,15
B->A,85 253,15
B->A,90 144,15
C->A,109 195,15
C->A,123 241,15
C->A,129 157,15
C->A,131 145,15
C->A,131 185,15
C->A,137 161,15
C->A,139 153,15
C->A,139 173,15
C->A,139 221,15
C->A,141 157,15
C->A,145 179,15
C->A,145 237,15
C->A,145 243,15
C->A,145 249,15
C->A,149 161,15
C->A,149 171,15
C->A,149 243,15
C->A,153 195,15
C->A,155 173,15
C->A,166 226,15
C->A,169 249,15
C->A,171 173,15
C->A,171 185,15
C->A,171 193,15
C->A,178 214,15
C->A,179 185,15
C->A,185 211,15
C->A,185 251,15
C->A,189 225,15
C->A,193 209,15
C->A,195 221,15
C->A,195 245,15
C->A,197 217,15
C->A,205 251,15
C->A,213 221,15
C->A,213 241,15
C->A,217 229,15
C->A,225 243,15
C->A,66 80,15
C->A,67 113,15
C->A,67 193,15
C->A,82 118,15
C->A,82 144,15
C->A,84 116,15
C->A,85 253,15
B->A,120 136,14
B->A,141 185,14
B->A,165 229,14
B->A,177 225,14
B->A,241 249,14
B->A,67 157,14
B->A,80 214,14
B->A,88 106,14
B->A,91 97,14
C->A,110 148,14
C->A,120 250,14
C->A,129 169,14
C->A,129 181,14
C->A,138 226,14
C->A,145 165,14
C->A,178 246,14
C->A,181 237,14
C->A,66 160,14
C->A,67 157,14
C->A,67 73,14
C->A,68 118,14
C->A,68 196,14
C->A,68 70,14
C->A,73 187,14
C->A,84 180,14
C->A,91 193,14
C->A,91 97,14
C->A,94 232,14
C->A,66 136,13
C->A,66 148,13
B->A,100 118,12
B->A,102 148,12
B->A,102 208,12
B->A,106 144,12
B->A,116 172,12
B->A,118 232,12
B->A,130 138,12
B->A,130 198,12
B->A,133 137,12
B->A,136 138,12
B->A,136 230,12
B->A,137 147,12
B->A,137 171,12
B->A,139 197,12
B->A,142 164,12
B->A,145 177,12
B->A,145 203,12
B->A,145 217,12
B->A,147 153,12
B->A,147 225,12
B->A,147 241,12
B->A,148 230,12
B->A,149 155,12
B->A,149 219,12
B->A,153 177,12
B->A,153 251,12
B->A,154 202,12
B->A,154 250,12
B->A,155 197,12
B->A,155 229,12
B->A,157 201,12
B->A,157 251,12
B->A,164 238,12
B->A,165 169,12
B->A,165 205,12
B->A,169 201,12
B->A,169 203,12
B->A,169 217,12
B->A,170 236,12
B->A,171 181,12
B->A,173 177,12
B->A,173 187,12
B->A,173 235,12
B->A,173 243,12
B->A,174 244,12
B->A,178 238,12
B->A,179 193,12
B->A,179 225,12
B->A,181 219,12
B->A,185 187,12
B->A,185 253,12
B->A,187 197,12
B->A,187 221,12
B->A,187 245,12
B->A,189 193,12
B->A,193 249,12
B->A,195 205,12
B->A,197 203,12
B->A,197 235,12
B->A,198 226,12
B->A,198 244,12
B->A,202 210,12
B->A,202 238,12
B->A,203 233,12
B->A,203 245,12
B->A,205 213,12
B->A,205 219,12
B->A,205 243,12
B->A,212 246,12
B->A,213 229,12
B->A,226 238,12
B->A,233 243,12
B->A,236 250,12
B->A,243 245,12
B->A,245 251,12
B->A,245 253,12
B->A,66 208,12
B->A,70 100,12
B->A,70 148,12
B->A,76 180,12
B->A,76 82,12
B->A,80 118,12
B->A,82 172,12
B->A,85 115,12
B->A,85 163,12
B->A,88 130,12
C->A,100 174,12
C->A,102 116,12
C->A,106 176,12
C->A,107 113,12
C->A,113 177,12
C->A,116 190,12
C->A,118 232,12
C->A,129 193,12
C->A,130 174,12
C->A,131 173,12
C->A,131 225,12
C->A,133 197,12
C->A,133 225,12
C->A,136 198,12
C->A,137 139,12
C->A,137 165,12
C->A,137 177,12
C->A,137 209,12
C->A,137 217,12
C->A,138 164,12
C->A,139 185,12
C->A,141 229,12
C->A,141 233,12
C->A,141 245,12
C->A,145 171,12
C->A,147 225,12
C->A,149 203,12
C->A,149 237,12
C->A,153 171,12
C->A,153 251,12
C->A,154 178,12
C->A,154 202,12
C->A,154 226,12
C->A,155 225,12
C->A,155 233,12
C->A,157 179,12
C->A,157 249,12
C->A,157 251,12
C->A,161 193,12
C->A,165 169,12
C->A,165 197,12
C->A,165 225,12
C->A,165 241,12
C->A,169 217,12
C->A,169 227,12
C->A,171 181,12
C->A,171 221,12
C->A,171 241,12
C->A,173 179,12
C->A,173 195,12
C->A,174 178,12
C->A,177 185,12
C->A,177 205,12
C->A,178 198,12
C->A,178 210,12
C->A,179 221,12
C->A,179 229,12
C->A,181 201,12
C->A,181 203,12
C->A,181 213,12
C->A,181 217,12
C->A,181 249,12
C->A,185 235,12
C->A,195 233,12
C->A,197 237,12
C->A,197 251,12
C->A,198 202,12
C->A,198 226,12
C->A,198 250,12
C->A,201 229,12
C->A,201 241,12
C->A,201 245,12
C->A,203 221,12
C->A,205 217,12
C->A,205 243,12
C->A,209 225,12
C->A,213 233,12
C->A,217 233,12
C->A,221 253,12
C->A,225 249,12
C->A,227 229,12
C->A,229 251,12
C->A,233 251,12
C->A,245 251,12
C->A,66 208,12
C->A,68 132,12
C->A,70 232,12
C->A,84 250,12
C->A,85 219,12
C->A,85 91,12
C->A,97 163,12
C->A,97 177,12
C->A,109 219,11
C->A,120 178,11
C->A,67 117,11
C->A,75 181,11
C->A,75 193,11
C->A,82 102,11
C->A,88 178,11
C->A,93 193,11
B->A,108 164,10
B->A,116 140,10
B->A,116 228,10
B->A,131 157,10
B->A,133 233,10
B->A,137 155,10
B->A,140 250,10
B->A,141 157,10
B->A,142 170,10
B->A,142 202,10
B->A,145 195,10
B->A,145 219,10
B->A,147 181,10
B->A,147 245,10
B->A,149 253,10
B->A,155 221,10
B->A,166 180,10
B->A,166 250,10
B->A,169 213,10
B->A,174 180,10
B->A,177 241,10
B->A,180 246,10
B->A,195 221,10
B->A,195 245,10
B->A,197 243,10
B->A,202 246,10
B->A,217 229,10
B->A,67 85,10
B->A,68 84,10
B->A,70 208,10
B->A,73 115,10
B->A,90 176,10
C->A,102 136,10
C->A,102 180,10
C->A,107 193,10
C->A,108 164,10
C->A,109 163,10
C->A,109 211,10
C->A,116 140,10
C->A,116 236,10
C->A,130 230,10
C->A,131 181,10
C->A,131 197,10
C->A,131 233,10
C->A,133 153,10
C->A,139 233,10
C->A,141 241,10
C->A,145 227,10
C->A,147 149,10
C->A,149 195,10
C->A,149 227,10
C->A,149 253,10
C->A,155 181,10
C->A,155 221,10
C->A,169 213,10
C->A,171 205,10
C->A,171 233,10
C->A,173 211,10
C->A,173 227,10
C->A,173 251,10
C->A,173 253,10
C->A,174 202,10
C->A,174 226,10
C->A,177 241,10
C->A,179 233,10
C->A,179 245,10
C->A,180 246,10
C->A,185 195,10
C->A,185 217,10
C->A,185 227,10
C->A,193 237,10
C->A,202 246,10
C->A,205 249,10
C->A,210 250,10
C->A,217 241,10
C->A,221 227,10
C->A,221 243,10
C->A,246 250,10
C->A,68 204,10
C->A,68 236,10
C->A,73 115,10
C->A,73 139,10
C->A,73 93,10
C->A,76 164,10
C->A,76 212,10
C->A,81 225,10
C->A,84 226,10
B->A,100 236,9
B->A,130 142,9
B->A,132 170,9
B->A,137 163,9
B->A,138 212,9
B->A,141 169,9
B->A,142 226,9
B->A,145 213,9
B->A,153 227,9
B->A,154 164,9
B->A,155 193,9
B->A,157 203,9
B->A,157 213,9
B->A,163 173,9
B->A,164 210,9
B->A,165 193,9
B->A,166 202,9
B->A,169 219,9
B->A,170 196,9
B->A,190 250,9
B->A,193 243,9
B->A,197 211,9
B->A,205 217,9
B->A,219 225,9
B->A,225 235,9
B->A,233 235,9
B->A,82 144,9
C->A,100 210,9
C->A,115 157,9
C->A,131 241,9
C->A,133 185,9
C->A,133 205,9
C->A,136 230,9
C->A,137 201,9
C->A,138 212,9
C->A,149 155,9
C->A,149 211,9
C->A,153 253,9
C->A,154 164,9
C->A,154 170,9
C->A,157 203,9
C->A,157 217,9
C->A,165 221,9
C->A,166 202,9
C->A,169 201,9
C->A,169 243,9
C->A,170 174,9
C->A,171 197,9
C->A,173 235,9
C->A,179 181,9
C->A,179 193,9
C->A,181 243,9
C->A,185 213,9
C->A,203 205,9
C->A,203 245,9
C->A,213 245,9
C->A,227 241,9
C->A,233 237,9
C->A,64 170,9
C->A,64 250,9
C->A,73 75,9
C->A,75 97,9
C->A,82 228,9
C->A,82 84,9
C->A,84 130,9
C->A,88 170,9
C->A,93 109,9
C->A,94 148,9
B->A,100 140,8
B->A,130 246,8
B->A,132 250,8
B->A,133 241,8
B->A,136 154,8
B->A,136 198,8
B->A,137 227,8
B->A,138 164,8
B->A,138 178,8
B->A,139 145,8
B->A,139 157,8
B->A,139 205,8
B->A,139 241,8
B->A,141 193,8
B->A,142 180,8
B->A,142 250,8
B->A,145 211,8
B->A,145 235,8
B->A,147 197,8
B->A,153 203,8
B->A,157 179,8
B->A,157 195,8
B->A,157 211,8
B->A,157 243,8
B->A,163 221,8
B->A,164 190,8
B->A,166 244,8
B->A,170 172,8
B->A,170 204,8
B->A,177 205,8
B->A,177 221,8
B->A,180 198,8
B->A,180 210,8
B->A,181 235,8
B->A,187 225,8
B->A,187 233,8
B->A,193 203,8
B->A,195 229,8
B->A,197 219,8
B->A,197 227,8
B->A,211 233,8
B->A,221 235,8
B->A,228 250,8
B->A,233 253,8
B->A,235 241,8
B->A,238 250,8
B->A,67 109,8
B->A,76 106,8
B->A,80 102,8
B->A,88 136,8
C->A,100 238,8
C->A,106 120,8
C->A,109 123,8
C->A,116 172,8
C->A,130 138,8
C->A,130 154,8
C->A,130 238,8
C->A,130 246,8
C->A,131 221,8
C->A,131 245,8
C->A,133 169,8
C->A,133 173,8
C->A,137 211,8
C->A,137 227,8
C->A,138 178,8
C->A,139 157,8
C->A,139 197,8
C->A,142 250,8
C->A,145 177,8
C->A,147 153,8
C->A,147 185,8
C->A,147 233,8
C->A,149 179,8
C->A,149 187,8
C->A,149 219,8
C->A,153 211,8
C->A,155 157,8
C->A,157 201,8
C->A,157 211,8
C->A,164 238,8
C->A,165 181,8
C->A,165 205,8
C->A,166 212,8
C->A,169 171,8
C->A,169 203,8
C->A,169 251,8
C->A,170 198,8
C->A,170 214,8
C->A,170 238,8
C->A,170 246,8
C->A,171 245,8
C->A,173 243,8
C->A,177 221,8
C->A,177 225,8
C->A,178 190,8
C->A,180 198,8
C->A,180 210,8
C->A,181 251,8
C->A,187 221,8
C->A,187 225,8
C->A,193 251,8
C->A,197 227,8
C->A,198 244,8
C->A,202 230,8
C->A,202 238,8
C->A,211 229,8
C->A,212 230,8
C->A,217 245,8
C->A,219 221,8
C->A,219 245,8
C->A,226 246,8
C->A,229 253,8
C->A,66 232,8
C->A,68 228,8
C->A,68 76,8
C->A,75 85,8
C->A,76 116,8
C->A,76 180,8
C->A,85 163,8
C->A,88 136,8
C->A,91 109,8
B->A,85 121,7
C->A,100 228,7
C->A,113 163,7
C->A,120 136,7
C->A,174 250,7
C->A,67 205,7
C->A,84 244,7
C->A,85 123,7
C->A,88 226,7
C->A,94 100,7
B->A,100 196,6
B->A,108 180,6
B->A,108 212,6
B->A,120 232,6
B->A,130 140,6
B->A,132 226,6
B->A,133 145,6
B->A,133 181,6
B->A,133 229,6
B->A,136 174,6
B->A,137 177,6
B->A,137 187,6
B->A,137 203,6
B->A,137 243,6
B->A,138 180,6
B->A,138 244,6
B->A,139 229,6
B->A,140 170,6
B->A,140 178,6
B->A,140 226,6
B->A,142 178,6
B->A,142 212,6
B->A,145 147,6
B->A,145 163,6
B->A,147 193,6
B->A,148 166,6
B->A,148 174,6
B->A,149 163,6
B->A,153 163,6
B->A,154 178,6
B->A,154 180,6
B->A,157 177,6
B->A,157 253,6
B->A,160 230,6
B->A,163 185,6
B->A,164 228,6
B->A,169 195,6
B->A,170 228,6
B->A,177 181,6
B->A,177 185,6
B->A,180 214,6
B->A,181 187,6
B->A,184 250,6
B->A,185 243,6
B->A,193 195,6
B->A,193 227,6
B->A,198 208,6
B->A,202 214,6
B->A,202 228,6
B->A,204 250,6
B->A,205 211,6
B->A,210 212,6
B->A,210 226,6
B->A,211 241,6
B->A,212 214,6
B->A,214 226,6
B->A,214 244,6
B->A,225 253,6
B->A,235 245,6
B->A,66 80,6
B->A,67 97,6
B->A,68 140,6
B->A,68 172,6
B->A,70 232,6
B->A,80 184,6
B->A,82 176,6
B->A,85 235,6
C->A,100 236,6
C->A,102 106,6
C->A,106 184,6
C->A,129 241,6
C->A,130 198,6
C->A,131 157,6
C->A,131 229,6
C->A,132 170,6
C->A,133 145,6
C->A,133 229,6
C->A,137 141,6
C->A,137 203,6
C->A,137 251,6
C->A,139 193,6
C->A,139 229,6
C->A,141 169,6
C->A,141 181,6
C->A,141 193,6
C->A,141 221,6
C->A,142 164,6
C->A,142 170,6
C->A,142 178,6
C->A,145 201,6
C->A,145 203,6
C->A,145 213,6
C->A,145 251,6
C->A,147 221,6
C->A,148 166,6
C->A,153 189,6
C->A,153 227,6
C->A,154 180,6
C->A,154 212,6
C->A,155 193,6
C->A,155 197,6
C->A,155 205,6
C->A,155 229,6
C->A,157 165,6
C->A,157 219,6
C->A,169 195,6
C->A,170 228,6
C->A,173 177,6
C->A,173 187,6
C->A,177 181,6
C->A,177 233,6
C->A,179 197,6
C->A,179 205,6
C->A,179 225,6
C->A,179 241,6
C->A,181 195,6
C->A,181 219,6
C->A,185 187,6
C->A,185 203,6
C->A,185 243,6
C->A,187 241,6
C->A,187 245,6
C->A,190 250,6
C->A,193 213,6
C->A,195 225,6
C->A,195 241,6
C->A,196 250,6
C->A,197 211,6
C->A,197 219,6
C->A,201 205,6
C->A,203 229,6
C->A,205 213,6
C->A,210 226,6
C->A,211 233,6
C->A,212 246,6
C->A,219 225,6
C->A,225 235,6
C->A,229 243,6
C->A,243 245,6
C->A,66 100,6
C->A,68 102,6
C->A,68 140,6
C->A,70 100,6
C->A,82 176,6
C->A,84 106,6
C->A,97 105,6
C->A,97 115,6
C->A,97 123,6
B->A,100 204,5
B->A,116 204,5
B->A,130 236,5
B->A,133 245,5
B->A,137 179,5
B->A,138 232,5
B->A,141 225,5
B->A,147 169,5
B->A,147 205,5
B->A,163 245,5
B->A,178 214,5
B->A,193 237,5
B->A,212 238,5
B->A,225 251,5
B->A,244 246,5
B->A,67 193,5
B->A,80 138,5
B->A,80 210,5
B->A,84 100,5
B->A,84 148,5
C->A,100 132,5
C->A,100 214,5
C->A,108 244,5
C->A,116 204,5
C->A,131 193,5
C->A,131 205,5
C->A,137 195,5
C->A,139 245,5
C->A,145 155,5
C->A,145 195,5
C->A,147 169,5
C->A,147 181,5
C->A,147 205,5
C->A,153 155,5
C->A,153 235,5
C->A,155 245,5
C->A,157 227,5
C->A,157 237,5
C->A,164 174,5
C->A,165 233,5
C->A,166 178,5
C->A,166 250,5
C->A,169 237,5
C->A,171 225,5
C->A,171 229,5
C->A,173 203,5
C->A,180 230,5
C->A,181 227,5
C->A,193 201,5
C->A,219 229,5
C->A,219 241,5
C->A,230 244,5
C->A,241 243,5
C->A,244 246,5
C->A,67 85,5
C->A,97 253,5
B->A,100 108,4
B->A,102 232,4
B->A,130 154,4
B->A,130 166,4
B->A,130 184,4
B->A,130 210,4
B->A,130 228,4
B->A,130 238,4
B->A,132 180,4
B->A,133 169,4
B->A,136 210,4
B->A,136 246,4
B->A,138 148,4
B->A,139 169,4
B->A,140 202,4
B->A,142 160,4
B->A,147 229,4
B->A,148 210,4
B->A,154 212,4
B->A,155 169,4
B->A,160 166,4
B->A,160 246,4
B->A,163 197,4
B->A,166 208,4
B->A,169 187,4
B->A,172 178,4
B->A,172 250,4
B->A,177 229,4
B->A,178 190,4
B->A,178 204,4
B->A,180 190,4
B->A,180 196,4
B->A,181 211,4
B->A,181 217,4
B->A,187 193,4
B->A,187 205,4
B->A,196 212,4
B->A,197 253,4
B->A,198 212,4
B->A,198 232,4
B->A,202 236,4
B->A,208 230,4
