shared_distinct_shell_count,distinct_union_shell_count,pair_count,max_k6_split_product_penalty,max_k7_split_product_penalty,max_side_split_product_penalty,min_side_split_product_penalty
0,5,5381723,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.3535533905932738
0,6,395074588,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.3535533905932738
1,4,174000,0.7071067811865476,0.5000000000000001,0.7071067811865476,0.5
1,5,23555435,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
