distinct_union_shell_count,max_k4_split_product_penalty,max_k5_split_product_penalty,max_side_split_product_penalty,min_side_split_product_penalty,pair_count,shared_distinct_shell_count
4,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.3535533905932738,562,0
5,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.3535533905932738,15150,0
6,0.3535533905932738,0.3535533905932738,0.3535533905932738,0.3535533905932738,98883,0
3,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.5,54,1
4,0.7071067811865476,0.7071067811865476,0.7071067811865476,0.5,2491,1
5,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,27342,1
