face_class,residual_band,outside_skeleton_slot_count,in_k34_signature_ledger,ordered_triad_count,effective_ordered_triad_count,ordered_shell_face_rows,support_count,top_supports,top_signatures,cover_status
window_residual_face,i4_residual_only,2,True,1008,1008,16,11,"[[19, 29, 30], [10, 30, 30], [17, 19, 22], [17, 19, 30], [18, 24, 30], [19, 19, 20], [19, 22, 29], [20, 22, 30]]","[{'signature': 'C->B->B', 'effective_ordered_triad_count': 816}, {'signature': 'A->D->B', 'effective_ordered_triad_count': 144}, {'signature': 'A->B->C', 'effective_ordered_triad_count': 48}]",open_single_band_residual_leakage_or_support_certificate
window_residual_face,i4_residual_only,3,False,480,432,10,3,"[[22, 24, 30], [22, 30, 30], [24, 24, 24]]","[{'signature': 'B->B->B', 'effective_ordered_triad_count': 144}, {'signature': 'B->A->B', 'effective_ordered_triad_count': 96}, {'signature': 'B->B->A', 'effective_ordered_triad_count': 96}, {'signature': 'A->B->B', 'effective_ordered_triad_count': 96}, {'signature': 'A->A->A', 'effective_ordered_triad_count': 0}]",outside_k34_signature_rows_support_level_selector_exclusion_still_required
window_residual_face,mixed_i3_i4_residual,2,False,12600,12600,218,44,"[[9, 19, 26], [9, 21, 24], [9, 27, 30], [11, 21, 30], [13, 19, 26], [9, 25, 30], [11, 17, 30], [13, 17, 30]]","[{'signature': 'B->B->B', 'effective_ordered_triad_count': 2592}, {'signature': 'B->C->B', 'effective_ordered_triad_count': 1536}, {'signature': 'B->B->C', 'effective_ordered_triad_count': 1536}, {'signature': 'B->A->B', 'effective_ordered_triad_count': 768}, {'signature': 'B->B->A', 'effective_ordered_triad_count': 768}, {'signature': 'A->B->B', 'effective_ordered_triad_count': 768}, {'signature': 'C->B->C', 'effective_ordered_triad_count': 672}, {'signature': 'B->C->C', 'effective_ordered_triad_count': 672}]",outside_k34_signature_rows_support_level_selector_exclusion_still_required
window_residual_face,mixed_i3_i4_residual,2,True,2664,2664,46,26,"[[9, 25, 30], [11, 17, 30], [13, 17, 30], [13, 29, 30], [9, 10, 19], [9, 17, 22], [9, 17, 30], [9, 22, 29]]","[{'signature': 'C->B->B', 'effective_ordered_triad_count': 1536}, {'signature': 'C->C->B', 'effective_ordered_triad_count': 672}, {'signature': 'A->B->C', 'effective_ordered_triad_count': 360}, {'signature': 'A->C->C', 'effective_ordered_triad_count': 96}]",open_mixed_residual_leakage_or_involution_classification
window_residual_face,mixed_i3_i4_residual,3,False,3456,3456,66,14,"[[9, 19, 30], [11, 19, 24], [9, 9, 30], [9, 11, 30], [11, 11, 24], [9, 13, 24], [9, 13, 22], [9, 13, 30]]","[{'signature': 'B->B->B', 'effective_ordered_triad_count': 1584}, {'signature': 'B->C->B', 'effective_ordered_triad_count': 384}, {'signature': 'B->B->C', 'effective_ordered_triad_count': 384}, {'signature': 'B->B->A', 'effective_ordered_triad_count': 288}, {'signature': 'B->A->B', 'effective_ordered_triad_count': 288}, {'signature': 'A->B->B', 'effective_ordered_triad_count': 288}, {'signature': 'B->C->A', 'effective_ordered_triad_count': 48}, {'signature': 'B->A->C', 'effective_ordered_triad_count': 48}]",outside_k34_signature_rows_support_level_selector_exclusion_still_required
window_residual_face,mixed_i3_i4_residual,3,True,432,432,9,5,"[[9, 13, 22], [9, 13, 30], [11, 13, 22], [11, 13, 30], [9, 13, 24]]","[{'signature': 'C->B->B', 'effective_ordered_triad_count': 384}, {'signature': 'A->B->C', 'effective_ordered_triad_count': 48}]",open_mixed_residual_leakage_or_involution_classification
k3_endpoint_face,no_residual_shell,0,False,984,840,15,7,"[[10, 14, 14], [8, 10, 14], [10, 10, 14], [8, 14, 14], [8, 10, 10], [8, 8, 8], [14, 14, 14]]","[{'signature': 'C->C->A', 'effective_ordered_triad_count': 96}, {'signature': 'C->A->C', 'effective_ordered_triad_count': 96}, {'signature': 'C->A->A', 'effective_ordered_triad_count': 96}, {'signature': 'A->C->A', 'effective_ordered_triad_count': 96}, {'signature': 'A->A->C', 'effective_ordered_triad_count': 96}, {'signature': 'D->A->C', 'effective_ordered_triad_count': 48}, {'signature': 'D->A->A', 'effective_ordered_triad_count': 48}, {'signature': 'C->D->A', 'effective_ordered_triad_count': 48}]",covered_by_U3_endpoint_chart
k3_endpoint_face,no_residual_shell,0,True,240,240,5,3,"[[8, 10, 14], [10, 10, 14], [8, 10, 10]]","[{'signature': 'A->C->C', 'effective_ordered_triad_count': 96}, {'signature': 'D->C->A', 'effective_ordered_triad_count': 48}, {'signature': 'A->C->D', 'effective_ordered_triad_count': 48}, {'signature': 'C->D->C', 'effective_ordered_triad_count': 24}, {'signature': 'C->C->D', 'effective_ordered_triad_count': 24}]",covered_by_U3_endpoint_chart
k4_endpoint_safe_face,no_residual_shell,0,False,13680,13392,157,44,"[[17, 26, 27], [21, 26, 29], [17, 20, 29], [21, 25, 26], [26, 27, 29], [18, 21, 27], [20, 26, 26], [26, 29, 29]]","[{'signature': 'C->C->C', 'effective_ordered_triad_count': 1440}, {'signature': 'C->C->A', 'effective_ordered_triad_count': 864}, {'signature': 'C->A->C', 'effective_ordered_triad_count': 864}, {'signature': 'C->B->A', 'effective_ordered_triad_count': 768}, {'signature': 'C->A->B', 'effective_ordered_triad_count': 768}, {'signature': 'D->C->C', 'effective_ordered_triad_count': 768}, {'signature': 'B->C->A', 'effective_ordered_triad_count': 768}, {'signature': 'B->A->C', 'effective_ordered_triad_count': 768}]",covered_inside_U4_chart_after_U4_radius_is_fixed
k4_endpoint_safe_face,no_residual_shell,0,True,4176,4176,49,28,"[[17, 18, 29], [26, 29, 29], [18, 20, 26], [17, 17, 26], [17, 18, 25], [17, 20, 21], [17, 26, 27], [17, 26, 29]]","[{'signature': 'A->C->C', 'effective_ordered_triad_count': 864}, {'signature': 'C->C->D', 'effective_ordered_triad_count': 768}, {'signature': 'C->D->C', 'effective_ordered_triad_count': 768}, {'signature': 'A->B->C', 'effective_ordered_triad_count': 768}, {'signature': 'C->C->B', 'effective_ordered_triad_count': 576}, {'signature': 'C->B->B', 'effective_ordered_triad_count': 144}, {'signature': 'D->C->A', 'effective_ordered_triad_count': 120}, {'signature': 'A->C->D', 'effective_ordered_triad_count': 120}]",covered_inside_U4_chart_after_U4_radius_is_fixed
