support,log_path,mode_count,triad_count,active_modes,projected_grad_norm,mpmath_R,certified_lower,certified_upper,interval_width,endpoint_gap_using_certified_upper,below_endpoint_by_certified_upper,hessian_skipped,status,global_cert,packaging_status
"10,13,19",logs\paper3_k34_raw_support_cert_10_13_19_gc_20260612.log,36,288,36/36,1.976e-07,0.020626513696096880057924213553126142674905880180881020937694655034643987587598623,0.0206265137,0.0206265137,0E-10,0.000437882905546775,True,True,PARTIAL (),PASS (P8 scan; 4096 starts),raw_below_global_replay_needs_local_hessian_or_interval_packaging
"13,22,29",logs\paper3_k34_raw_support_cert_13_22_29_gc_20260612.log,60,576,60/60,7.687e-06,0.018517178266743811307986223775968680749330713946648384287361968226150048231642784,0.01851717827,0.01851717827,0E-11,0.002547218335546775,True,True,PARTIAL (proj_grad=7.69e-06),PASS (P8 scan; 4096 starts),raw_below_global_replay_needs_local_hessian_or_interval_packaging
"13,17,24",logs\paper3_k34_raw_support_cert_13_17_24_gc_20260612.log,48,576,36/48,9.316e-07,0.017199306708108427007379989707283624270060953256061201386260099996974650481315807,0.01719930671,0.01719930671,0E-11,0.003865089895546775,True,True,PARTIAL (),PASS (P8 scan; 4096 starts),raw_below_global_replay_needs_local_hessian_or_interval_packaging
"13,29,30",logs\paper3_k34_raw_support_cert_13_29_30_gc_20260612.log,72,1152,56/72,3.196e-06,0.015372417294608186242384635012655037108987416326482419809067704752466189845028586,0.01537241729,0.01537241729,0E-11,0.005691979315546775,True,True,PARTIAL (proj_grad=3.20e-06),PASS (P8 scan; 4096 starts),raw_below_global_replay_needs_local_hessian_or_interval_packaging
"13,22,25",logs\paper3_k34_raw_support_cert_13_22_25_gc_20260612.log,36,288,36/36,6.831e-08,0.014958772022492045857268331387600209480713360273212271746182685826519255572960352,0.01495877202,0.01495877202,0E-11,0.006105624585546775,True,True,PARTIAL (),PASS (P8 scan; 4096 starts),raw_below_global_replay_needs_local_hessian_or_interval_packaging
